iteration,numPointsCluster1,numPointsCluster2
2,1,1
4,2,2
6,3,3
8,4,4
10,5,5
12,6,6
14,7,7
16,8,8
18,9,9
20,10,10
22,11,11
24,12,12
26,13,13
28,14,14
30,15,15
32,16,16
34,17,17
36,18,18
38,19,19
40,20,20
42,21,21
44,22,22
46,23,23
48,24,24
50,25,25
52,26,26
54,27,27
56,28,28
58,29,29
60,30,30
62,31,31
64,32,32
66,33,33
68,34,34
70,35,35
72,36,36
74,37,37
76,38,38
78,39,39
80,40,40
82,41,41
84,42,42
86,43,43
88,44,44
90,45,45
92,46,46
94,47,47
96,48,48
98,49,49
100,50,50
102,50,50
104,50,50
106,50,50
108,50,50
110,50,50
112,50,50
114,50,50
116,50,50
118,50,50
120,50,50
122,50,50
124,50,50
126,50,50
128,50,50
130,50,50
132,50,50
134,50,50
136,50,50
138,50,50
140,50,50
142,50,50
144,50,50
146,50,50
148,50,50
150,50,50
152,50,50
154,50,50
156,50,50
158,50,50
160,50,50
162,50,50
164,50,50
166,50,50
168,50,50
170,50,50
172,50,50
174,50,50
176,50,50
178,50,50
180,50,50
182,50,50
184,50,50
186,50,50
188,50,50
190,50,50
192,50,50
194,50,50
196,50,50
198,50,50
200,50,50
202,50,50
204,50,50
206,50,50
208,50,50
210,50,50
212,50,50
214,50,50
216,50,50
218,50,50
220,50,50
222,50,50
224,50,50
226,50,50
228,50,50
230,50,50
232,50,50
234,50,50
236,50,50
238,50,50
240,50,50
242,50,50
244,50,50
246,50,50
248,50,50
250,50,50
252,50,50
254,50,50
256,50,50
258,50,50
260,50,50
262,50,50
264,50,50
266,50,50
268,50,50
270,50,50
272,50,50
274,50,50
276,50,50
278,50,50
280,50,50
282,50,50
284,50,50
286,50,50
288,50,50
290,50,50
292,50,50
294,50,50
296,50,50
298,50,50
300,50,50
302,50,50
304,50,50
306,50,50
308,50,50
310,50,50
312,50,50
314,50,50
316,50,50
318,50,50
320,50,50
322,50,50
324,50,50
326,50,50
328,50,50
330,50,50
332,50,50
334,50,50
336,50,50
338,50,50
340,50,50
342,50,50
344,50,50
346,50,50
348,50,50
350,50,50
352,50,50
354,50,50
356,50,50
358,50,50
360,50,50
362,50,50
364,50,50
366,50,50
368,50,50
370,50,50
372,50,50
374,50,50
376,50,50
378,50,50
380,50,50
382,50,50
384,50,50
386,50,50
388,50,50
390,50,50
392,50,50
394,50,50
396,50,50
398,50,50
400,50,50
402,50,50
404,50,50
406,50,50
408,50,50
410,50,50
412,50,50
414,50,50
416,50,50
418,50,50
420,50,50
422,50,50
424,50,50
426,50,50
428,50,50
430,50,50
432,50,50
434,50,50
436,50,50
438,50,50
440,50,50
442,50,50
444,50,50
446,50,50
448,50,50
450,50,50
452,50,50
454,50,50
456,50,50
458,50,50
460,50,50
462,50,50
464,50,50
466,50,50
468,50,50
470,50,50
472,50,50
474,50,50
476,50,50
478,50,50
480,50,50
482,50,50
484,50,50
486,50,50
488,50,50
490,50,50
492,50,50
494,50,50
496,50,50
498,50,50
500,50,50
502,50,50
504,50,50
506,50,50
508,50,50
510,50,50
512,50,50
514,50,50
516,50,50
518,50,50
520,50,50
522,50,50
524,50,50
526,50,50
528,50,50
530,50,50
532,50,50
534,50,50
536,50,50
538,50,50
540,50,50
542,50,50
544,50,50
546,50,50
548,50,50
550,50,50
552,50,50
554,50,50
556,50,50
558,50,50
560,50,50
562,50,50
564,50,50
566,50,50
568,50,50
570,50,50
572,50,50
574,50,50
576,50,50
578,50,50
580,50,50
582,50,50
584,50,50
586,50,50
588,50,50
590,50,50
592,50,50
594,50,50
596,50,50
598,50,50
600,50,50
602,50,50
604,50,50
606,50,50
608,50,50
610,50,50
612,50,50
614,50,50
616,50,50
618,50,50
620,50,50
622,50,50
624,50,50
626,50,50
628,50,50
630,50,50
632,50,50
634,50,50
636,50,50
638,50,50
640,50,50
642,50,50
644,50,50
646,50,50
648,50,50
650,50,50
652,50,50
654,50,50
656,50,50
658,50,50
660,50,50
662,50,50
664,50,50
666,50,50
668,50,50
670,50,50
672,50,50
674,50,50
676,50,50
678,50,50
680,50,50
682,50,50
684,50,50
686,50,50
688,50,50
690,50,50
692,50,50
694,50,50
696,50,50
698,50,50
700,50,50
702,50,50
704,50,50
706,50,50
708,50,50
710,50,50
712,50,50
714,50,50
716,50,50
718,50,50
720,50,50
722,50,50
724,50,50
726,50,50
728,50,50
730,50,50
732,50,50
734,50,50
736,50,50
738,50,50
740,50,50
742,50,50
744,50,50
746,50,50
748,50,50
750,50,50
752,50,50
