iteration,fuseTest,fuseResult
1,0,54.4266
1,1,4091.88
3,0,54.3366
3,1,4091.77
5,0,52.866
5,1,4093.94
7,0,53.6195
7,1,4092.49
9,0,53.8354
9,1,4091.53
11,0,56.0745
11,1,4092.01
13,0,54.0416
13,1,4091.32
15,0,52.3368
15,1,4093.05
17,0,56.8122
17,1,4094.06
19,0,53.3704
19,1,4091.76
21,0,53.9823
21,1,4091.65
23,0,52.6279
23,1,4093.25
25,0,52.2585
25,1,4094.02
27,0,54.5169
27,1,4094.79
29,0,54.5888
29,1,4091.64
31,0,56.9322
31,1,4092.76
33,0,54.0443
33,1,4092.19
35,0,54.1165
35,1,4091.17
37,0,54.2493
37,1,4092.8
39,0,53.6496
39,1,4092.07
41,0,53.9737
41,1,4091.03
43,0,54.9633
43,1,4092.09
45,0,55.2439
45,1,4091.48
47,0,55.1893
47,1,4092.26
49,0,52.3537
49,1,4091.29
51,0,52.1538
51,1,4091.14
53,0,54.7269
53,1,4093.14
55,0,56.1606
55,1,4093.58
57,0,53.1536
57,1,4091.08
59,0,55.0591
59,1,4092.24
61,0,54.1759
61,1,4092.92
63,0,54.6292
63,1,4091.1
65,0,54.1273
65,1,4093.49
67,0,54.1966
67,1,4093.54
69,0,53.4643
69,1,4093.1
71,0,54.8102
71,1,4092.85
73,0,54.6095
73,1,4092.49
75,0,54.3954
75,1,4092.35
77,0,56.0749
77,1,4092.12
79,0,56.6807
79,1,4092.76
81,0,51.1326
81,1,4091.94
83,0,53.8978
83,1,4092.19
85,0,54.5758
85,1,4091.36
87,0,55.7816
87,1,4091.44
89,0,53.2226
89,1,4093.01
91,0,53.941
91,1,4094.04
93,0,53.4051
93,1,4091.77
95,0,54.9394
95,1,4091.26
97,0,53.09
97,1,4091.69
99,0,52.9137
99,1,4092.68
101,0,54.884
101,1,4093.72
103,0,54.8834
103,1,4092.04
105,0,51.1744
105,1,4091.81
107,0,55.0328
107,1,4091.48
109,0,55.715
109,1,4091.97
111,0,56.1506
111,1,4092.03
113,0,54.6008
113,1,4094.81
115,0,53.4598
115,1,4094.04
117,0,56.222
117,1,4092.93
119,0,55.1014
119,1,4092.77
121,0,54.4561
121,1,4091.54
123,0,53.9698
123,1,4092.39
125,0,54.4074
125,1,4093.03
127,0,55.6333
127,1,4091.6
129,0,51.5274
129,1,4092.01
131,0,55.1459
131,1,4092.53
133,0,52.7319
133,1,4092.49
135,0,55.7894
135,1,4092.32
137,0,53.2676
137,1,4091.29
139,0,54.0835
139,1,4092.24
141,0,54.5599
141,1,4091.24
143,0,53.0547
143,1,4092.29
145,0,52.4101
145,1,4091.81
147,0,54.2085
147,1,4094.08
149,0,54.0698
149,1,4093.11
151,0,54.445
151,1,4092.24
153,0,55.1108
153,1,4091.52
155,0,51.4023
155,1,4092.63
157,0,54.0006
157,1,4092.6
159,0,54.8197
159,1,4092.35
161,0,53.2957
161,1,4091.23
163,0,56.5854
163,1,4092.18
165,0,55.0977
165,1,4091.8
167,0,53.9149
167,1,4092.24
169,0,54.5145
169,1,4092.84
171,0,53.7357
171,1,4091.56
173,0,54.5282
173,1,4092.2
175,0,54.3085
175,1,4094.43
177,0,55.7886
177,1,4091.22
179,0,54.81
179,1,4091.8
181,0,53.9595
181,1,4093.35
183,0,56.9218
183,1,4091.55
185,0,54.2368
185,1,4093.17
187,0,53.5107
187,1,4092.02
189,0,52.79
189,1,4092.18
191,0,52.6096
191,1,4091.3
